delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delay_hours,delayed,delivery_status,delivery_rating,delivery_cost,cost_per_km,cost_per_kg
4946,xpressbees,groceries,ev bike,express,west,stormy,19.1,5.15,3,2,1,yes,delayed,2,160.95,8.426701570680628,31.252427184466015
4947,dhl,fragile items,van,express,west,clear,205.7,46.21,8,6,2,yes,failed,1,1217.13,5.917015070491007,26.339104090023806
4948,fedex,fragile items,bike,express,north,cold,153.8,28.82,5,5,0,yes,delayed,2,905.46,5.887256176853056,31.417765440666205
4949,ekart,fragile items,bike,two day,central,stormy,184.2,12.36,7,16,-9,no,delivered,4,958.08,5.201302931596092,77.51456310679612
4950,dhl,electronics,van,two day,west,cold,71.3,4.45,3,16,-13,no,delivered,4,369.85,5.187237026647967,83.1123595505618
4951,ekart,groceries,scooter,same day,north,stormy,237.0,21.71,9,8,1,yes,delayed,3,1350.13,5.696751054852321,62.189313680331644
4952,delhivery,cosmetics,ev bike,standard,south,rainy,19.9,46.5,6,24,-18,no,delivered,5,239.0,12.010050251256283,5.139784946236559
4953,amazon logistics,fragile items,van,express,north,clear,60.0,25.22,4,3,1,yes,delayed,2,425.66,7.094333333333334,16.87787470261697
4954,blue dart,groceries,bike,express,east,hot,3.6,23.52,2,2,0,yes,delayed,2,137.56,38.21111111111111,5.848639455782313
4955,dhl,cosmetics,scooter,same day,north,clear,207.2,22.45,7,8,-1,no,delivered,5,1203.35,5.807673745173745,53.60133630289532
4956,blue dart,pharmacy,van,express,west,cold,230.1,13.63,6,6,0,yes,delayed,2,1241.39,5.395002172968275,91.07776962582538
4957,blue dart,clothing,bike,same day,north,hot,162.6,22.17,6,8,-2,no,delivered,5,979.51,6.024046740467405,44.181777176364456
4958,dhl,automobile parts,bike,two day,west,foggy,54.5,7.79,5,16,-11,no,delivered,4,295.87,5.428807339449541,37.980744544287546
4959,ecom express,furniture,ev van,same day,west,stormy,15.4,43.4,5,8,-3,no,delivered,3,307.2,19.948051948051948,7.078341013824884
4960,ecom express,pharmacy,van,two day,south,foggy,88.5,13.12,5,16,-11,no,delivered,4,481.86,5.4447457627118645,36.72713414634147
4961,dhl,documents,ev bike,express,south,clear,116.4,16.51,3,4,-1,no,delivered,3,681.53,5.855068728522336,41.27983040581465
4962,fedex,electronics,ev van,same day,west,cold,142.7,32.06,7,8,-1,no,delivered,5,909.68,6.374772249474422,28.374298190892073
4963,ecom express,furniture,bike,express,central,hot,228.9,22.98,4,6,-2,no,delivered,4,1263.44,5.519615552643075,54.97998259355962
4964,ekart,cosmetics,ev bike,express,central,cold,283.0,42.46,9,7,2,yes,delayed,2,1592.38,5.62678445229682,37.50306170513424
4965,ecom express,documents,ev bike,express,west,stormy,241.2,1.5,9,6,3,yes,delayed,3,1260.5,5.2259535655058045,840.3333333333334
4966,delhivery,automobile parts,bike,same day,south,cold,106.0,14.54,2,8,-6,no,delivered,5,673.62,6.354905660377359,46.32874828060523
4967,ekart,cosmetics,scooter,same day,south,clear,6.8,21.6,0,8,-8,no,delivered,4,198.8,29.23529411764706,9.203703703703704
4968,dhl,pharmacy,bike,same day,north,stormy,292.4,23.87,16,8,8,yes,delayed,3,1632.7206,5.583859781121752,68.40052785923754
4969,delhivery,fragile items,bike,two day,north,cold,204.3,49.52,10,16,-6,no,delivered,4,1170.09,5.727312775330396,23.62863489499192
4970,amazon logistics,fragile items,scooter,same day,north,foggy,97.1,14.87,5,8,-3,no,delivered,3,630.11,6.489289392378991,42.374579690652325
4971,amazon logistics,cosmetics,scooter,same day,west,foggy,279.4,42.71,9,8,1,yes,delayed,2,1625.13,5.816499642090194,38.050339498946386
4972,dhl,fragile items,ev van,two day,east,hot,28.2,8.01,3,16,-13,no,delivered,5,165.03,5.852127659574468,20.60299625468165
4973,amazon logistics,cosmetics,scooter,standard,east,foggy,103.7,35.48,5,24,-19,no,delivered,4,624.94,6.02642237222758,17.613866967305526
4974,xpressbees,fragile items,ev bike,standard,south,clear,150.2,39.24,7,24,-17,no,delivered,4,868.72,5.783754993342211,22.138634046890928
4975,amazon logistics,electronics,bike,standard,north,rainy,84.8,10.62,8,24,-16,no,delivered,3,455.86,5.375707547169812,42.92467043314501
4976,amazon logistics,groceries,truck,standard,east,cold,35.4,5.83,2,24,-22,no,delivered,5,194.49,5.49406779661017,33.36020583190395
4977,shadowfax,fragile items,ev bike,standard,east,rainy,38.3,27.66,4,24,-20,no,delivered,4,274.48,7.166579634464753,9.923355025307304
4978,delhivery,furniture,bike,standard,north,rainy,199.2,33.94,12,24,-12,no,delivered,3,1097.82,5.511144578313253,32.345904537418974
4979,ecom express,electronics,van,same day,west,foggy,290.1,45.68,11,8,3,yes,delayed,2,1632.7206,5.628130299896587,35.742570052539406
4980,shadowfax,fragile items,ev van,same day,south,foggy,295.5,30.86,11,8,3,yes,delayed,2,1632.7206,5.525281218274112,52.90734283862606
4981,ecom express,pharmacy,truck,same day,east,cold,142.8,19.4,3,8,-5,no,delivered,3,872.2,6.107843137254902,44.958762886597945
4982,ecom express,automobile parts,ev bike,two day,south,hot,229.8,45.61,8,16,-8,no,delivered,4,1285.83,5.595430809399478,28.19184389388292
4983,blue dart,electronics,van,two day,north,hot,63.8,23.35,4,16,-12,no,delivered,5,389.05,6.097962382445141,16.661670235546037
4984,dhl,clothing,scooter,express,central,clear,208.1,8.85,7,6,1,yes,delayed,2,1117.05,5.367851994233542,126.22033898305085
4985,blue dart,furniture,van,standard,west,cold,137.3,48.07,4,24,-20,no,delivered,4,830.71,6.050327749453751,17.281256500936134
4986,delhivery,clothing,van,express,south,foggy,193.9,23.14,6,5,1,yes,delayed,2,1088.92,5.615884476534296,47.057908383751084
4987,ecom express,furniture,ev van,two day,south,clear,10.5,17.71,3,16,-13,no,delivered,4,105.63,10.059999999999999,5.9644268774703555
4988,ecom express,groceries,van,two day,north,rainy,229.1,42.37,8,16,-8,no,delivered,4,1272.61,5.554823221300742,30.03563842341279
4989,ecom express,clothing,truck,standard,west,stormy,168.2,48.11,9,24,-15,no,delivered,3,985.33,5.8580856123662315,20.480773228019125
4990,amazon logistics,cosmetics,truck,standard,south,clear,165.1,14.7,5,24,-19,no,delivered,4,869.6,5.267110841913992,59.15646258503402
4991,shadowfax,electronics,van,same day,south,hot,67.5,12.57,4,8,-4,no,delivered,4,475.21,7.040148148148148,37.80509148766905
4992,fedex,fragile items,van,two day,central,rainy,108.1,30.73,6,16,-10,no,delivered,4,632.69,5.852821461609621,20.58867556134071
4993,ecom express,clothing,ev van,two day,central,cold,16.3,29.95,0,16,-16,no,delivered,5,171.35,10.512269938650306,5.721202003338898
4994,fedex,pharmacy,scooter,two day,east,clear,104.7,39.85,6,16,-10,no,delivered,4,643.05,6.141833810888252,16.13676286072773
4995,shadowfax,automobile parts,van,express,east,cold,82.6,47.14,2,3,-1,no,delivered,5,604.42,7.317433414043584,12.821807382265591
4996,blue dart,clothing,ev bike,two day,central,hot,234.7,0.84,4,16,-12,no,delivered,5,1176.02,5.010737111205795,1400.0238095238096
4997,xpressbees,automobile parts,bike,same day,west,rainy,41.3,14.88,5,8,-3,no,delivered,4,351.14,8.502179176755448,23.598118279569892
4998,amazon logistics,documents,ev bike,express,south,foggy,50.2,5.59,4,3,1,yes,delayed,3,317.77,6.3300796812749,56.84615384615385
4999,xpressbees,cosmetics,ev bike,standard,west,clear,240.4,16.41,8,24,-16,no,delivered,3,1251.23,5.204783693843594,76.2480195003047
5000,fedex,fragile items,van,same day,north,clear,176.3,12.46,4,8,-4,no,delivered,5,1018.88,5.779239931934202,81.7720706260032
5001,blue dart,documents,truck,express,east,foggy,194.7,35.55,7,5,2,yes,failed,1,1130.15,5.804571135079611,31.790436005625885
5002,delhivery,groceries,van,express,east,rainy,39.6,41.08,6,2,4,yes,delayed,2,371.24,9.374747474747474,9.037000973709835
5003,shadowfax,fragile items,truck,standard,east,hot,195.8,34.28,7,24,-17,no,delivered,5,1081.84,5.525229826353421,31.558926487747954
5004,xpressbees,electronics,bike,standard,west,hot,194.0,32.5,7,24,-17,no,delivered,4,1067.5,5.502577319587629,32.84615384615385
5005,xpressbees,electronics,truck,standard,north,rainy,141.2,39.36,6,24,-18,no,delivered,4,824.08,5.836260623229463,20.9369918699187
5006,ecom express,documents,van,standard,central,rainy,287.7,23.56,13,24,-11,no,delivered,4,1509.18,5.245672575599583,64.05687606112055
5007,fedex,pharmacy,bike,two day,south,cold,82.2,7.44,2,16,-14,no,delivered,5,433.32,5.271532846715329,58.24193548387096
5008,amazon logistics,fragile items,ev bike,standard,south,foggy,173.2,21.38,7,24,-17,no,delivered,3,930.14,5.370323325635105,43.50514499532273
5009,xpressbees,pharmacy,bike,express,east,stormy,39.7,16.16,8,2,6,yes,delayed,2,296.98,7.480604534005038,18.377475247524753
5010,ekart,furniture,truck,two day,central,stormy,116.6,3.93,7,16,-9,no,delivered,4,594.79,5.101114922813036,151.34605597964375
5011,amazon logistics,fragile items,ev van,standard,central,hot,80.3,36.83,4,24,-20,no,delivered,5,511.99,6.375965130759652,13.9014390442574
5012,delhivery,clothing,ev van,same day,east,cold,209.1,28.19,8,8,0,yes,delayed,2,1230.07,5.882687709230034,43.63497694217807
5013,shadowfax,automobile parts,truck,express,east,hot,229.0,29.53,9,6,3,yes,failed,2,1283.59,5.605196506550218,43.46732136810023
5014,ecom express,documents,ev bike,express,east,clear,257.9,21.5,8,7,1,yes,delayed,2,1404.0,5.443970531213649,65.30232558139535
5015,shadowfax,documents,truck,express,west,foggy,75.2,31.52,6,3,3,yes,failed,2,520.56,6.922340425531914,16.515228426395936
5016,ecom express,automobile parts,ev bike,same day,central,rainy,194.9,31.07,9,8,1,yes,delayed,2,1167.71,5.9913288866085175,37.58319922755069
5017,delhivery,pharmacy,ev van,two day,north,rainy,152.5,14.16,5,16,-11,no,delivered,5,804.98,5.2785573770491805,56.84887005649718
5018,fedex,groceries,van,same day,east,rainy,161.1,6.64,8,8,0,yes,delayed,3,925.42,5.7443823711980135,139.37048192771084
5019,amazon logistics,documents,van,standard,east,cold,68.2,22.54,3,24,-21,no,delivered,5,408.62,5.99149560117302,18.128660159716063
5020,shadowfax,groceries,scooter,standard,west,cold,212.8,35.59,7,24,-17,no,delivered,4,1170.77,5.501738721804511,32.89603821298117
5021,amazon logistics,fragile items,ev van,same day,north,rainy,187.3,30.53,9,8,1,yes,delayed,2,1128.09,6.022904431393486,36.95021290533901
5022,fedex,clothing,ev van,express,east,stormy,272.1,33.57,13,7,6,yes,delayed,2,1511.21,5.5538772510106575,45.01668156091748
5023,xpressbees,clothing,ev bike,standard,west,foggy,180.5,25.85,6,24,-18,no,delivered,3,980.05,5.429639889196675,37.91295938104448
5024,dhl,documents,truck,same day,north,hot,208.6,18.25,4,8,-4,no,delivered,4,1197.75,5.741850431447747,65.63013698630137
5025,amazon logistics,furniture,scooter,express,north,cold,104.1,6.77,6,4,2,yes,delayed,3,590.81,5.675408261287224,87.26883308714919
5026,blue dart,fragile items,ev van,two day,north,foggy,57.2,42.69,2,16,-14,no,delivered,3,414.07,7.238986013986014,9.699461232138674
5027,ekart,clothing,bike,two day,central,foggy,284.2,5.95,8,16,-8,no,delivered,5,1438.85,5.062807881773399,241.8235294117647
5028,delhivery,fragile items,truck,standard,central,foggy,181.4,14.15,6,24,-18,no,delivered,4,949.45,5.234013230429989,67.09893992932862
5029,xpressbees,automobile parts,scooter,two day,east,foggy,144.0,4.71,6,16,-10,no,delivered,4,734.13,5.098125,155.86624203821657
5030,ekart,groceries,van,two day,central,cold,297.1,29.56,7,16,-9,no,delivered,5,1586.68,5.340558734432851,53.6765899864682
5031,ekart,automobile parts,bike,same day,east,clear,80.2,49.21,2,8,-6,no,delivered,5,648.63,8.087655860349127,13.1808575492786
5032,amazon logistics,automobile parts,bike,same day,central,clear,212.1,11.86,5,8,-3,no,delivered,4,1196.08,5.639226779820839,100.84991568296796
5033,dhl,fragile items,van,express,north,foggy,68.4,26.31,4,3,1,yes,delayed,3,470.93,6.8849415204678355,17.89927784112505
5034,blue dart,groceries,van,express,west,foggy,132.6,46.35,5,4,1,yes,failed,2,852.05,6.425716440422323,18.382955771305284
5035,delhivery,documents,ev van,standard,west,foggy,114.4,30.75,7,24,-17,no,delivered,5,664.25,5.806381118881118,21.601626016260163
5036,ekart,fragile items,truck,standard,west,cold,226.5,4.64,4,24,-20,no,delivered,5,1146.42,5.061456953642384,247.073275862069
5037,ecom express,groceries,bike,same day,east,stormy,140.8,45.78,7,8,-1,no,delivered,5,941.34,6.685653409090909,20.562254259501966
5038,fedex,electronics,ev van,same day,south,rainy,104.6,18.3,7,8,-1,no,delivered,4,677.9,6.480879541108987,37.04371584699453
5039,ecom express,cosmetics,truck,standard,north,rainy,88.3,48.01,9,24,-15,no,delivered,5,585.53,6.631143827859569,12.196000833159758
5040,blue dart,groceries,ev bike,express,west,clear,251.6,7.48,5,7,-2,no,delivered,4,1330.44,5.2879173290938,177.86631016042782
5041,dhl,automobile parts,ev van,same day,east,clear,63.3,45.46,1,8,-7,no,delivered,5,552.88,8.734281200631912,12.161900571931367
5042,blue dart,fragile items,truck,standard,east,rainy,138.3,46.92,7,24,-17,no,delivered,4,832.26,6.0177874186550975,17.73785166240409
5043,dhl,electronics,scooter,standard,north,hot,127.6,36.13,5,24,-19,no,delivered,4,746.39,5.8494514106583075,20.658455577082755
5044,shadowfax,automobile parts,van,two day,south,cold,141.9,35.58,4,16,-12,no,delivered,4,816.24,5.752219873150105,22.94097807757167
5045,amazon logistics,automobile parts,ev bike,express,central,hot,200.5,46.44,4,6,-2,no,delivered,4,1191.82,5.944239401496259,25.66365202411714
5046,dhl,cosmetics,bike,express,west,cold,266.1,20.47,12,7,5,yes,delayed,3,1441.91,5.418677189026681,70.44015632633122
5047,xpressbees,documents,ev van,standard,west,rainy,48.1,42.91,5,24,-19,no,delivered,5,369.23,7.676299376299377,8.604754136564905
5048,shadowfax,cosmetics,van,standard,north,stormy,215.3,33.28,9,24,-15,no,delivered,4,1176.34,5.463725034835113,35.34675480769231
5049,ekart,fragile items,truck,same day,east,hot,43.7,16.75,2,8,-6,no,delivered,4,368.75,8.438215102974828,22.01492537313433
5050,ecom express,fragile items,ev van,express,east,cold,3.6,1.22,1,2,-1,no,delivered,4,95.6674,26.574277777777777,78.41590163934427
5051,dhl,groceries,ev van,express,west,rainy,3.6,37.89,5,2,3,yes,delayed,3,180.67,50.1861111111111,4.768276590129322
5052,blue dart,cosmetics,ev bike,standard,west,rainy,268.9,24.14,12,24,-12,no,delivered,5,1416.92,5.269319449609521,58.69594034797018
5053,ecom express,groceries,scooter,two day,north,cold,254.1,40.3,7,16,-9,no,delivered,5,1391.4,5.475796930342385,34.52605459057072
5054,ecom express,documents,truck,two day,central,stormy,98.5,22.35,8,16,-8,no,delivered,5,559.55,5.680710659898477,25.035794183445187
5055,delhivery,cosmetics,truck,express,north,hot,195.1,5.3,6,5,1,yes,delayed,2,1041.4,5.337775499743722,196.49056603773587
5056,ecom express,furniture,ev van,standard,east,stormy,45.8,28.11,5,24,-19,no,delivered,4,313.33,6.841266375545851,11.14656705798648
5057,ecom express,documents,bike,two day,south,clear,226.5,31.6,8,16,-8,no,delivered,5,1227.3,5.418543046357616,38.838607594936704
5058,amazon logistics,pharmacy,bike,same day,south,clear,297.1,23.0,8,8,0,yes,delayed,3,1632.7206,5.495525412319084,70.98785217391305
5059,ekart,documents,bike,two day,east,rainy,283.5,8.28,9,16,-7,no,delivered,5,1442.34,5.0876190476190475,174.19565217391306
5060,shadowfax,pharmacy,ev van,same day,east,stormy,190.5,5.41,11,8,3,yes,delayed,3,1068.73,5.6101312335958005,197.547134935305
5061,fedex,groceries,truck,two day,north,cold,134.6,13.97,3,16,-13,no,delivered,4,714.91,5.311367013372957,51.174659985683604
5062,shadowfax,fragile items,ev bike,standard,north,stormy,110.6,34.6,9,24,-15,no,delivered,4,656.8,5.938517179023508,18.98265895953757
5063,shadowfax,fragile items,bike,same day,west,stormy,83.7,24.68,10,8,2,yes,delayed,3,592.54,7.079330943847072,24.008914100486223
5064,shadowfax,furniture,bike,express,north,hot,26.6,25.96,1,2,-1,no,delivered,4,260.88,9.80751879699248,10.049306625577811
5065,fedex,cosmetics,truck,two day,south,hot,63.7,20.81,1,16,-15,no,delivered,4,380.93,5.980062794348508,18.305141758769825
5066,xpressbees,clothing,ev bike,same day,central,hot,168.0,36.68,4,8,-4,no,delivered,5,1050.04,6.250238095238095,28.627044711014175
5067,fedex,automobile parts,van,same day,south,rainy,82.3,44.81,6,8,-2,no,delivered,3,645.93,7.848481166464155,14.414862753849585
5068,delhivery,clothing,bike,two day,north,rainy,217.9,26.5,9,16,-7,no,delivered,5,1169.0,5.36484625975218,44.113207547169814
5069,delhivery,fragile items,van,same day,east,hot,230.6,47.33,6,8,-2,no,delivered,4,1394.99,6.0493928881179535,29.47369533065709
5070,ecom express,fragile items,truck,same day,east,clear,143.5,12.68,8,8,0,yes,delayed,2,855.54,5.961951219512195,67.47160883280758
5071,ecom express,clothing,scooter,same day,north,hot,271.8,34.66,8,8,0,yes,delayed,2,1562.98,5.7504782928623985,45.09463358338142
5072,shadowfax,electronics,scooter,standard,east,cold,244.8,46.61,8,24,-16,no,delivered,4,1363.83,5.571200980392156,29.260459128942287
5073,blue dart,cosmetics,ev bike,same day,central,stormy,24.3,48.02,5,8,-3,no,delivered,4,365.56,15.043621399176955,7.612661391087046
5074,amazon logistics,fragile items,scooter,express,central,hot,240.9,4.41,6,6,0,no,delivered,3,1267.73,5.2624740556247405,287.4671201814059
5075,blue dart,cosmetics,bike,standard,north,stormy,249.1,29.28,11,24,-13,no,delivered,4,1333.34,5.352629466077881,45.537568306010925
5076,dhl,electronics,truck,express,west,foggy,104.6,5.49,6,4,2,yes,failed,1,589.47,5.63546845124283,107.37158469945355
5077,ekart,pharmacy,bike,express,west,rainy,148.4,15.29,8,4,4,yes,failed,1,837.87,5.646024258760107,54.79856115107914
5078,delhivery,groceries,van,express,west,stormy,22.0,32.15,4,2,2,yes,delayed,2,256.45,11.656818181818181,7.976671850699844
5079,amazon logistics,automobile parts,truck,express,west,cold,80.5,49.17,3,3,0,no,delivered,4,600.01,7.453540372670807,12.202765914175309
5080,fedex,fragile items,bike,two day,west,hot,285.5,43.97,7,16,-9,no,delivered,5,1559.41,5.462031523642732,35.46531726176939
5081,ekart,fragile items,truck,two day,central,foggy,280.0,19.85,9,16,-7,no,delivered,4,1459.55,5.2126785714285715,73.52896725440806
5082,fedex,groceries,ev bike,standard,south,clear,205.2,16.52,6,24,-18,no,delivered,4,1075.56,5.241520467836257,65.10653753026634
5083,delhivery,documents,ev van,express,north,cold,6.5,29.94,2,2,0,yes,delayed,2,172.32,26.51076923076923,5.755511022044088
5084,dhl,fragile items,scooter,express,south,clear,8.2,1.34,0,2,-2,no,delivered,5,95.6674,11.666756097560977,71.39358208955224
5085,fedex,clothing,scooter,two day,north,rainy,178.9,34.59,11,16,-5,no,delivered,4,998.27,5.580044717719396,28.860075166233013
5086,dhl,electronics,truck,express,north,stormy,69.8,4.56,5,3,2,yes,delayed,2,412.68,5.912320916905444,90.50000000000001
5087,amazon logistics,electronics,truck,same day,north,cold,195.9,2.03,4,8,-4,no,delivered,5,1085.59,5.541551812149055,534.7733990147783
5088,ekart,furniture,truck,standard,east,clear,29.7,12.75,1,24,-23,no,delivered,5,186.75,6.287878787878788,14.647058823529411
5089,blue dart,electronics,scooter,same day,central,rainy,296.3,12.93,16,8,8,yes,delayed,2,1620.29,5.468410394870064,125.31245166279969
5090,fedex,pharmacy,bike,express,north,cold,35.3,37.67,2,2,0,yes,failed,1,339.51,9.61784702549575,9.012742235200424
5091,amazon logistics,clothing,bike,two day,west,clear,101.7,35.2,5,16,-11,no,delivered,5,614.1,6.038348082595871,17.446022727272727
5092,dhl,automobile parts,ev van,standard,central,rainy,30.2,3.36,4,24,-20,no,delivered,4,161.08,5.3337748344370866,47.9404761904762
5093,delhivery,groceries,van,express,east,clear,115.8,19.84,2,4,-2,no,delivered,4,688.52,5.945768566493955,34.703629032258064
5094,ecom express,electronics,van,two day,north,hot,101.6,33.11,5,16,-11,no,delivered,4,607.33,5.977657480314962,18.342796738145577
5095,dhl,cosmetics,truck,standard,west,rainy,194.1,7.96,6,24,-18,no,delivered,4,994.38,5.123029366306028,124.92211055276383
5096,blue dart,groceries,scooter,express,south,hot,257.9,29.19,8,7,1,yes,delayed,3,1427.07,5.533423807677394,48.88900308324769
5097,shadowfax,documents,van,express,north,clear,243.3,22.89,10,6,4,yes,delayed,3,1335.17,5.487751746814633,58.3298383573613
5098,ekart,pharmacy,van,same day,east,clear,220.1,27.77,8,8,0,yes,delayed,2,1283.81,5.83284870513403,46.230104429240185
5099,ecom express,automobile parts,bike,standard,north,clear,297.1,47.27,7,24,-17,no,delivered,5,1632.7206,5.495525412319084,34.540313094986246
5100,ekart,automobile parts,truck,same day,south,clear,14.0,29.44,1,8,-7,no,delivered,3,258.32,18.451428571428572,8.774456521739129
5101,fedex,groceries,scooter,two day,west,clear,237.1,47.09,7,16,-9,no,delivered,3,1326.77,5.595824546604808,28.175196432363556
5102,fedex,fragile items,bike,express,north,rainy,40.0,3.61,7,2,5,yes,delayed,2,260.83,6.52075,72.25207756232687
5103,ekart,clothing,truck,standard,east,cold,182.8,42.84,5,24,-19,no,delivered,4,1042.52,5.7030634573304155,24.33520074696545
5104,fedex,fragile items,scooter,express,central,stormy,243.5,14.58,12,6,6,yes,delayed,2,1311.24,5.384969199178645,89.93415637860082
5105,delhivery,automobile parts,ev bike,same day,south,hot,198.8,16.93,8,8,0,yes,delayed,3,1144.79,5.758501006036217,67.61901949202598
5106,shadowfax,furniture,truck,same day,south,clear,35.3,8.04,3,8,-5,no,delivered,5,300.62,8.516147308781871,37.3905472636816
5107,xpressbees,furniture,bike,same day,west,cold,56.0,18.69,3,8,-5,no,delivered,4,436.07,7.786964285714285,23.331728196896734
5108,ecom express,pharmacy,ev bike,two day,west,cold,266.2,26.91,8,16,-8,no,delivered,4,1411.73,5.303268219383922,52.4611668524712
5109,ekart,electronics,bike,two day,east,stormy,273.3,33.15,15,16,-1,no,delivered,5,1465.95,5.363885839736553,44.22171945701358
5110,ekart,fragile items,scooter,express,west,hot,224.2,22.27,6,6,0,yes,delayed,2,1237.81,5.521008028545941,55.58194881005837
5111,fedex,cosmetics,ev bike,two day,west,foggy,88.8,48.14,4,16,-12,no,delivered,4,588.42,6.626351351351351,12.22309929372663
5112,xpressbees,fragile items,van,express,south,rainy,75.9,30.66,7,3,4,yes,delayed,3,521.48,6.870619235836627,17.008480104370516
5113,ecom express,clothing,van,standard,central,cold,22.6,13.72,2,24,-22,no,delivered,5,154.16,6.821238938053097,11.236151603498541
5114,delhivery,fragile items,scooter,same day,south,clear,140.9,32.49,3,8,-5,no,delivered,5,901.97,6.401490418736692,27.761465066174207
5115,ekart,groceries,van,two day,west,foggy,119.0,36.83,4,16,-12,no,delivered,5,705.49,5.928487394957983,19.155308172685313
5116,ekart,fragile items,scooter,express,east,clear,74.3,2.0,4,3,1,yes,delayed,2,427.5,5.753701211305518,213.75
5117,ekart,automobile parts,ev van,same day,east,rainy,195.4,37.28,9,8,1,yes,delayed,2,1188.84,6.084135107471852,31.889484978540768
5118,fedex,fragile items,ev bike,same day,central,hot,62.9,3.08,3,8,-5,no,delivered,3,423.74,6.736724960254373,137.57792207792207
5119,amazon logistics,automobile parts,ev van,two day,central,hot,27.6,25.45,2,16,-14,no,delivered,4,214.35,7.766304347826086,8.422396856581532
5120,delhivery,clothing,van,standard,west,cold,130.3,0.67,2,24,-22,no,delivered,5,652.4,5.006907137375287,973.731343283582
5121,amazon logistics,documents,ev van,standard,east,hot,218.4,8.03,6,24,-18,no,delivered,4,1116.09,5.110302197802198,138.99003735990038
5122,shadowfax,documents,scooter,express,south,stormy,56.0,30.31,8,3,5,yes,delayed,2,420.93,7.516607142857143,13.887495875948533
5123,shadowfax,furniture,scooter,standard,west,cold,176.8,19.62,4,24,-20,no,delivered,4,942.86,5.332918552036199,48.05606523955148
5124,xpressbees,automobile parts,scooter,two day,north,stormy,27.1,12.17,6,16,-10,no,delivered,5,172.01,6.347232472324722,14.133935907970418
5125,blue dart,cosmetics,truck,same day,north,stormy,81.3,10.64,10,8,2,yes,failed,1,538.42,6.622632226322263,50.60338345864661
5126,xpressbees,furniture,truck,same day,west,foggy,250.6,44.52,8,8,0,yes,failed,2,1486.56,5.932003192338388,33.39083557951482
5127,ekart,fragile items,bike,same day,south,rainy,44.9,28.91,6,8,-2,no,delivered,5,411.23,9.15879732739421,14.224489795918368
5128,fedex,clothing,truck,express,east,hot,200.2,40.75,6,6,0,yes,delayed,3,1173.25,5.8603896103896105,28.791411042944784
5129,xpressbees,pharmacy,ev van,standard,central,cold,5.3,30.51,0,24,-24,no,delivered,4,118.03,22.26981132075472,3.8685676827269746
5130,shadowfax,furniture,van,two day,south,cold,165.1,5.53,4,16,-12,no,delivered,3,842.09,5.100484554815264,152.27667269439422
5131,ekart,clothing,ev bike,express,east,hot,73.5,31.15,3,3,0,yes,delayed,3,510.95,6.951700680272109,16.402889245585875
5132,dhl,pharmacy,truck,express,west,rainy,67.5,15.26,7,3,4,yes,delayed,2,433.28,6.418962962962962,28.39318479685452
5133,fedex,fragile items,ev van,express,west,hot,151.8,33.77,5,5,0,yes,delayed,2,910.31,5.9967720685111985,26.956174119040565
5134,delhivery,fragile items,truck,express,central,cold,296.3,25.96,9,7,2,yes,delayed,2,1609.38,5.431589605129936,61.994607087827426
5135,xpressbees,fragile items,van,two day,south,foggy,71.1,48.07,3,16,-13,no,delivered,5,499.71,7.028270042194093,10.39546494695236
5136,delhivery,fragile items,bike,standard,central,rainy,166.0,24.69,8,24,-16,no,delivered,5,904.07,5.446204819277109,36.61684892669097
5137,fedex,furniture,ev bike,standard,south,stormy,114.4,42.5,6,24,-18,no,delivered,5,699.5,6.114510489510489,16.458823529411763
5138,shadowfax,electronics,van,standard,west,rainy,208.8,4.48,12,24,-12,no,delivered,5,1057.44,5.064367816091954,236.03571428571428
5139,delhivery,automobile parts,ev van,same day,north,cold,279.0,6.79,8,8,0,yes,delayed,2,1515.37,5.431433691756272,223.1767304860088
5140,ecom express,furniture,scooter,standard,central,cold,127.3,7.57,5,24,-19,no,delivered,5,659.21,5.178397486252946,87.08190224570674
5141,dhl,pharmacy,van,two day,west,stormy,272.7,44.29,12,16,-4,no,delivered,5,1496.37,5.487238723872387,33.78573041318582
5142,delhivery,electronics,ev bike,same day,south,stormy,275.1,8.98,14,8,6,yes,failed,1,1502.44,5.461432206470374,167.30957683741647
5143,shadowfax,fragile items,bike,same day,central,rainy,261.6,47.06,13,8,5,yes,delayed,2,1549.18,5.921941896024465,32.91925201869953
5144,shadowfax,fragile items,scooter,express,north,clear,75.1,38.22,3,3,0,no,delivered,3,540.16,7.19254327563249,14.132914704343275
5145,shadowfax,automobile parts,ev bike,express,south,clear,210.7,17.91,4,6,-2,no,delivered,4,1157.23,5.492311343141909,64.61362367392518
5146,xpressbees,clothing,scooter,two day,east,clear,102.2,37.68,3,16,-13,no,delivered,5,624.04,6.106066536203522,16.56157112526539
5147,fedex,fragile items,ev van,two day,west,foggy,57.6,24.15,4,16,-12,no,delivered,4,360.45,6.2578125,14.925465838509318
5148,amazon logistics,pharmacy,truck,standard,west,rainy,139.0,20.59,7,24,-17,no,delivered,5,756.77,5.444388489208633,36.75424963574551
5149,dhl,clothing,ev bike,express,north,foggy,144.9,43.87,6,4,2,yes,delayed,3,906.11,6.253347135955831,20.654433553681333
